Variant i,Variant j,Total Time,Summarization Time,Mapping Time,Number of Events,Average Number of Application,Average Number of Offer,Largest Type Object Set,Cost,Lane Optionality,n
1,3,0.27200130000001366,0.2479389000000083,0.02406240000000537,23,0.0,0.0,0,12,0,2
1,4,0.2041124999999795,0.184117399999991,0.019995099999988497,21,0.0,0.0,0,4,0,2
1,5,0.1526297999999997,0.13313839999999288,0.01949140000000682,24,0.0,0.0,0,0,0,2
1,6,0.21442310000000475,0.1941063000000014,0.020316800000003354,19,0.0,0.0,0,8,0,2
1,7,0.24337030000000937,0.22448610000000713,0.018884200000002238,22,0.0,0.0,0,2,0,2
1,8,0.5358389000000017,0.5101828000000097,0.025656099999991966,28,0.0,0.0,0,18,0,2
1,9,0.15820839999999237,0.1411925000000025,0.01701589999998987,18,0.0,0.0,0,4,0,2
2,3,0.2713257999999854,0.24832499999999413,0.023000799999991273,21,0.0,0.0,0,12,0,2
2,4,0.19059179999999287,0.17107310000000098,0.019518699999991895,19,0.0,0.0,0,4,0,2
2,5,0.14928390000000036,0.12916309999999953,0.020120800000000827,22,0.0,0.0,0,0,0,2
2,6,0.26180420000000026,0.24245040000000984,0.01935379999999043,17,0.0,0.0,0,8,0,2
2,7,0.20121509999999887,0.18246680000000026,0.018748299999998608,20,0.0,0.0,0,2,0,2
2,8,0.4842285000000004,0.4576816000000008,0.026546899999999596,26,0.0,0.0,0,18,0,2
2,9,0.13790170000000046,0.12054229999999677,0.01735940000000369,16,0.0,0.0,0,4,0,2
3,4,0.274067500000001,0.2484258000000068,0.025641699999994216,22,0.0,0.0,0,8,0,2
3,5,0.27788890000000777,0.2526691999999997,0.02521970000000806,25,0.0,0.0,0,12,0,2
3,6,0.26994170000000395,0.24621729999999786,0.023724400000006085,20,0.0,0.0,0,12,0,2
3,7,0.34193829999999537,0.31759999999999877,0.024338299999996593,23,0.0,0.0,0,14,0,2
3,8,0.5703920000000124,0.5403772000000089,0.03001480000000356,29,0.0,0.0,0,6,0,2
3,9,0.27229030000000876,0.24990510000000654,0.022385200000002214,19,0.0,0.0,0,16,0,2
4,5,0.20094259999999053,0.1803955999999971,0.02054699999999343,23,0.0,0.0,0,4,0,2
